epoch:0 train_loss:0.12661167979240417 test_acc:9.558401835213153e-05 test_loss:0.21878664195537567
epoch:1 train_loss:0.11888214945793152 test_acc:0.001816096348690499 test_loss:0.19927643239498138
epoch:2 train_loss:0.1021970734000206 test_acc:0.00439686484419805 test_loss:0.19139006733894348
epoch:3 train_loss:0.09679718315601349 test_acc:0.011183330147199388 test_loss:0.191080704331398
epoch:4 train_loss:0.08810652792453766 test_acc:0.019116803670426306 test_loss:0.15886354446411133
epoch:5 train_loss:0.08625136315822601 test_acc:0.029344293634104377 test_loss:0.18192291259765625
epoch:6 train_loss:0.07513269037008286 test_acc:0.03192506212961193 test_loss:0.18361225724220276
epoch:7 train_loss:0.07797333598136902 test_acc:0.027910533358822404 test_loss:0.15272922813892365
epoch:8 train_loss:0.07409756630659103 test_acc:0.0281972854138788 test_loss:0.1421772986650467
epoch:9 train_loss:0.06326176226139069 test_acc:0.018925635633722043 test_loss:0.1610134094953537
epoch:10 train_loss:0.059606000781059265 test_acc:0.02380042056968075 test_loss:0.15063707530498505
epoch:11 train_loss:0.06366536021232605 test_acc:0.01959472376218696 test_loss:0.16070325672626495
epoch:12 train_loss:0.0626635029911995 test_acc:0.019403555725482698 test_loss:0.14498643577098846
epoch:13 train_loss:0.058480553328990936 test_acc:0.020646147964060408 test_loss:0.13510335981845856
epoch:14 train_loss:0.06184336543083191 test_acc:0.023322500477920092 test_loss:0.14990000426769257
epoch:15 train_loss:0.05491529405117035 test_acc:0.023991588606385013 test_loss:0.16149520874023438
epoch:16 train_loss:0.05963165685534477 test_acc:0.029344293634104377 test_loss:0.14676348865032196
epoch:17 train_loss:0.05692707747220993 test_acc:0.0336455744599503 test_loss:0.13187673687934875
epoch:18 train_loss:0.04385937750339508 test_acc:0.03632192697380998 test_loss:0.15454939007759094
epoch:19 train_loss:0.04129525646567345 test_acc:0.03689543108392277 test_loss:0.15328891575336456
epoch:20 train_loss:0.04673902317881584 test_acc:0.04540240871726248 test_loss:0.11642111837863922
epoch:21 train_loss:0.05245264619588852 test_acc:0.04444656853374116 test_loss:0.15505997836589813
epoch:22 train_loss:0.05456581711769104 test_acc:0.049990441598164785 test_loss:0.09961232542991638
epoch:23 train_loss:0.041790734976530075 test_acc:0.05840183521315236 test_loss:0.11622694879770279
epoch:24 train_loss:0.04750052094459534 test_acc:0.0654750525712101 test_loss:0.09659669548273087
epoch:25 train_loss:0.03936047852039337 test_acc:0.06375454024087172 test_loss:0.12566378712654114
epoch:26 train_loss:0.03919172286987305 test_acc:0.07082775759892945 test_loss:0.10507404059171677
epoch:27 train_loss:0.04075060412287712 test_acc:0.06996750143376028 test_loss:0.09757214039564133
epoch:28 train_loss:0.04483307525515556 test_acc:0.09405467405849742 test_loss:0.12484513223171234
epoch:29 train_loss:0.03964148461818695 test_acc:0.09883387497610399 test_loss:0.08227654546499252
epoch:30 train_loss:0.03718310594558716 test_acc:0.09357675396673676 test_loss:0.13805539906024933
epoch:31 train_loss:0.04368625581264496 test_acc:0.09376792200344103 test_loss:0.07806136459112167
epoch:32 train_loss:0.03797513246536255 test_acc:0.10418658000382336 test_loss:0.09734158962965012
epoch:33 train_loss:0.03867071866989136 test_acc:0.11517874211431849 test_loss:0.09831730276346207
epoch:34 train_loss:0.03865889459848404 test_acc:0.12091378321544638 test_loss:0.0829450935125351
epoch:35 train_loss:0.034310758113861084 test_acc:0.10609826037086599 test_loss:0.10303881019353867
epoch:36 train_loss:0.02930644527077675 test_acc:0.1404129229592812 test_loss:0.12169034034013748
epoch:37 train_loss:0.03626517951488495 test_acc:0.13429554578474479 test_loss:0.08843287080526352
epoch:38 train_loss:0.032473351806402206 test_acc:0.15236092525329764 test_loss:0.06281784176826477
epoch:39 train_loss:0.03738771378993988 test_acc:0.15025807684955075 test_loss:0.07768942415714264
epoch:40 train_loss:0.03224581480026245 test_acc:0.157713630281017 test_loss:0.08851037174463272
epoch:41 train_loss:0.03115139715373516 test_acc:0.1644045115656662 test_loss:0.11167465150356293
epoch:42 train_loss:0.027620241045951843 test_acc:0.16841904033645574 test_loss:0.11588165909051895
epoch:43 train_loss:0.03039809688925743 test_acc:0.18084496272223285 test_loss:0.10225699096918106
epoch:44 train_loss:0.03361685574054718 test_acc:0.179506786465303 test_loss:0.09801719337701797
epoch:45 train_loss:0.02734510600566864 test_acc:0.19575606958516537 test_loss:0.12387154251337051
epoch:46 train_loss:0.027465995401144028 test_acc:0.18237430701586696 test_loss:0.10137110203504562
epoch:47 train_loss:0.031207969412207603 test_acc:0.19231504492448862 test_loss:0.08824479579925537
epoch:48 train_loss:0.02866452932357788 test_acc:0.20311603899827949 test_loss:0.07413960993289948
epoch:49 train_loss:0.02424023672938347 test_acc:0.2328426687057924 test_loss:0.10403216630220413
epoch:50 train_loss:0.03051958605647087 test_acc:0.2156375454024087 test_loss:0.07136306166648865
epoch:51 train_loss:0.030929461121559143 test_acc:0.24297457465111832 test_loss:0.0884324163198471
epoch:52 train_loss:0.03219500184059143 test_acc:0.22825463582489008 test_loss:0.09535496681928635
epoch:53 train_loss:0.027463596314191818 test_acc:0.2377174536417511 test_loss:0.10246293991804123
epoch:54 train_loss:0.02942233346402645 test_acc:0.2349455171095393 test_loss:0.1226072832942009
epoch:55 train_loss:0.026065152138471603 test_acc:0.2428789906327662 test_loss:0.10749425739049911
epoch:56 train_loss:0.02114463970065117 test_acc:0.2522462244312751 test_loss:0.13105060160160065
epoch:57 train_loss:0.026180049404501915 test_acc:0.2520550563945708 test_loss:0.07285583019256592
epoch:58 train_loss:0.029086880385875702 test_acc:0.2686866755878417 test_loss:0.06752080470323563
epoch:59 train_loss:0.022798961028456688 test_acc:0.2848403746893519 test_loss:0.06218044087290764
epoch:60 train_loss:0.02647741138935089 test_acc:0.2865608870196903 test_loss:0.0761861577630043
epoch:61 train_loss:0.021825533360242844 test_acc:0.26658382718409485 test_loss:0.05532863363623619
epoch:62 train_loss:0.02715955302119255 test_acc:0.2858917988912254 test_loss:0.07171700149774551
epoch:63 train_loss:0.018741779029369354 test_acc:0.316861020837316 test_loss:0.10280486196279526
epoch:64 train_loss:0.023835105821490288 test_acc:0.3091187153507933 test_loss:0.09872625768184662
epoch:65 train_loss:0.035414814949035645 test_acc:0.2891416555151979 test_loss:0.07518524676561356
epoch:66 train_loss:0.02487272582948208 test_acc:0.3090231313324412 test_loss:0.07385008782148361
epoch:67 train_loss:0.019289663061499596 test_acc:0.3140890843051042 test_loss:0.10388065874576569
epoch:68 train_loss:0.021186843514442444 test_acc:0.3228828139935003 test_loss:0.04857936128973961
epoch:69 train_loss:0.02795667015016079 test_acc:0.30720703498375074 test_loss:0.08178482949733734
epoch:70 train_loss:0.02525087259709835 test_acc:0.3199197094245842 test_loss:0.05033688619732857
epoch:71 train_loss:0.02714790776371956 test_acc:0.34935958707704073 test_loss:0.11310593038797379
epoch:72 train_loss:0.029120786115527153 test_acc:0.3429554578474479 test_loss:0.043060820549726486
epoch:73 train_loss:0.0268448106944561 test_acc:0.3428598738290958 test_loss:0.06905415654182434
epoch:74 train_loss:0.023406757041811943 test_acc:0.34429363410437774 test_loss:0.07204362004995346
epoch:75 train_loss:0.02561686560511589 test_acc:0.32641942267252916 test_loss:0.0641651302576065
epoch:76 train_loss:0.023358259350061417 test_acc:0.37029248709615753 test_loss:0.07191585004329681
epoch:77 train_loss:0.024632655084133148 test_acc:0.37029248709615753 test_loss:0.10355498641729355
epoch:78 train_loss:0.02330278977751732 test_acc:0.3665647103804244 test_loss:0.057986531406641006
epoch:79 train_loss:0.01687154918909073 test_acc:0.3709615752246224 test_loss:0.03412875905632973
epoch:80 train_loss:0.024033866822719574 test_acc:0.3828139935002868 test_loss:0.10007983446121216
epoch:81 train_loss:0.019667215645313263 test_acc:0.36369718982986043 test_loss:0.08623911440372467
epoch:82 train_loss:0.026447733864188194 test_acc:0.37918180080290576 test_loss:0.0654049888253212
epoch:83 train_loss:0.024360135197639465 test_acc:0.3995411967119098 test_loss:0.06041957437992096
epoch:84 train_loss:0.022722002118825912 test_acc:0.37793920856432806 test_loss:0.10996247828006744
epoch:85 train_loss:0.019678225740790367 test_acc:0.3898872108583445 test_loss:0.07467830181121826
epoch:86 train_loss:0.017320264130830765 test_acc:0.3886446186197668 test_loss:0.04270944371819496
epoch:87 train_loss:0.015868477523326874 test_acc:0.3999235327853183 test_loss:0.01876119151711464
epoch:88 train_loss:0.018474852666258812 test_acc:0.3851080099407379 test_loss:0.06377953290939331
epoch:89 train_loss:0.01900928094983101 test_acc:0.41502580768495506 test_loss:0.05887934938073158
epoch:90 train_loss:0.020014792680740356 test_acc:0.4080481743452495 test_loss:0.06761477142572403
epoch:91 train_loss:0.016701333224773407 test_acc:0.3966736761613458 test_loss:0.09032963216304779
epoch:92 train_loss:0.01528018619865179 test_acc:0.40862167845536224 test_loss:0.15872971713542938
epoch:93 train_loss:0.020449405536055565 test_acc:0.3978206843815714 test_loss:0.06679407507181168
epoch:94 train_loss:0.018819641321897507 test_acc:0.4378703880711145 test_loss:0.07524258643388748
epoch:95 train_loss:0.021979406476020813 test_acc:0.4257312177403938 test_loss:0.12187748402357101
epoch:96 train_loss:0.018111949786543846 test_acc:0.41196711909768685 test_loss:0.07247944176197052
epoch:97 train_loss:0.01441953331232071 test_acc:0.43796597208946664 test_loss:0.07235340029001236
epoch:98 train_loss:0.016603704541921616 test_acc:0.4526859109156949 test_loss:0.0874309316277504
epoch:99 train_loss:0.01900743693113327 test_acc:0.42190785700630856 test_loss:0.0690653994679451
epoch:100 train_loss:0.022147655487060547 test_acc:0.4588032880902313 test_loss:0.05760728195309639
epoch:101 train_loss:0.021009303629398346 test_acc:0.4694131141273179 test_loss:0.025822648778557777
epoch:102 train_loss:0.01717119663953781 test_acc:0.44589944561269357 test_loss:0.049466200172901154
epoch:103 train_loss:0.017076488584280014 test_acc:0.4757216593385586 test_loss:0.048539213836193085
epoch:104 train_loss:0.017022788524627686 test_acc:0.4694131141273179 test_loss:0.04285496473312378
epoch:105 train_loss:0.014255712740123272 test_acc:0.4726629707512904 test_loss:0.029646703973412514
epoch:106 train_loss:0.015157734975218773 test_acc:0.45373733511756836 test_loss:0.02998567372560501
epoch:107 train_loss:0.014404244720935822 test_acc:0.44159816478684766 test_loss:0.051715876907110214
epoch:108 train_loss:0.018303658813238144 test_acc:0.4733320588797553 test_loss:0.06611903756856918
epoch:109 train_loss:0.014986736699938774 test_acc:0.44962722232842667 test_loss:0.05371949076652527
epoch:110 train_loss:0.015025551430881023 test_acc:0.4621487287325559 test_loss:0.08276936411857605
epoch:111 train_loss:0.013478212058544159 test_acc:0.48222137258650355 test_loss:0.04737285524606705
epoch:112 train_loss:0.015163051895797253 test_acc:0.49808831963295735 test_loss:0.04835577309131622
epoch:113 train_loss:0.016128521412611008 test_acc:0.4994264958898872 test_loss:0.05969015881419182
epoch:114 train_loss:0.01723305508494377 test_acc:0.5048747849359587 test_loss:0.11074033379554749
epoch:115 train_loss:0.014475138857960701 test_acc:0.5213152360925253 test_loss:0.05846016854047775
